96;-44;4;3;;-5675;-5815;4;3
54;-86;3;4;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
-1118;-1378;5;8;;-1456;-1556;2;3
-286;-306;0;1;;4231;4211;1;0
-2637;-2937;5;10;;-4302;-4362;1;2
-286;-306;0;1;;4231;4211;1;0
-2637;-2937;5;10;;-4302;-4362;1;2
-805;-1065;5;8;;-5293;-5473;3;6
973;-407;45;24;;5379;4199;40;19
815;-165;31;18;;5872;4852;37;14
131;-649;27;12;;6501;5401;39;16
-779;-1319;9;18;;-5276;-5856;11;18
96;-44;4;3;;-5675;-5815;4;3
1057;-123;37;22;;6079;5019;38;15
96;-44;4;3;;-5675;-5815;4;3
96;-44;4;3;;-5675;-5815;4;3
-286;-306;0;1;;4231;4211;1;0
-90;-1230;32;25;;7280;6140;36;21
-335;-475;2;5;;-5258;-5358;2;3
54;-86;3;4;;4231;4211;1;0
680;-300;32;17;;6567;5387;43;16
-286;-306;0;1;;4231;4211;1;0
54;-86;3;4;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
96;-44;4;3;;-5675;-5815;4;3
-499;-1279;24;15;;6482;5422;37;16
-28;-168;3;4;;6553;6053;20;5
-523;-703;3;6;;-4302;-4362;1;2
-28;-168;3;4;;6366;5906;17;6
-286;-306;0;1;;4231;4211;1;0
-3;-1143;35;22;;5299;4159;38;19
-722;-782;0;3;;2336;2276;2;1
965;-215;40;19;;6315;4975;49;18
106;6;4;1;;-2949;-3129;4;5
-286;-306;0;1;;4231;4211;1;0
54;-86;3;4;;4231;4211;1;0
-1837;-2257;7;14;;-4381;-4681;4;11
-286;-306;0;1;;-6160;-6220;1;2
-286;-306;0;1;;4231;4211;1;0
-565;-745;3;6;;-5400;-5500;0;5
-286;-306;0;1;;4231;4211;1;0
-2637;-2937;5;10;;-4302;-4362;1;2
-1074;-1414;5;12;;-5358;-5578;2;9
-565;-745;3;6;;-5400;-5500;0;5
96;-44;4;3;;-5675;-5815;4;3
173;-127;7;8;;5664;5204;15;8
392;-588;33;16;;6895;5675;43;18
-286;-306;0;1;;4231;4211;1;0
96;-44;4;3;;-5675;-5815;4;3
96;-44;4;3;;-5675;-5815;4;3
-286;-306;0;1;;4231;4211;1;0
-1837;-2257;7;14;;-4381;-4681;4;11
-286;-306;0;1;;4231;4211;1;0
1890;1310;17;12;;5428;4968;16;7
-1118;-1378;5;8;;-1456;-1556;2;3
587;-433;30;21;;6795;5495;46;19
124;-56;6;3;;6413;6033;14;5
96;-44;4;3;;-5675;-5815;4;3
-28;-168;3;4;;6639;6139;19;6
1813;1273;16;11;;5902;5082;24;17
-286;-306;0;1;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
-1074;-1414;5;12;;-5358;-5578;2;9
-1072;-1412;5;12;;-4251;-4351;2;3
-286;-306;0;1;;4231;4211;1;0
100;-760;28;15;;5988;4808;40;19
1578;238;43;24;;4690;3390;43;22
780;-1360;57;50;;5909;3729;65;44
456;-444;31;14;;7077;5737;46;21
106;6;4;1;;-2949;-3129;4;5
619;-641;36;27;;5675;4175;47;28
96;-44;4;3;;-5675;-5815;4;3
-286;-306;0;1;;4231;4211;1;0
809;-91;31;14;;6231;5091;42;15
-286;-306;0;1;;4231;4211;1;0
-272;-372;3;2;;5238;5178;2;1
-1074;-1414;5;12;;-5358;-5578;2;9
414;-446;29;14;;7007;5787;43;18
-286;-306;0;1;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
1235;1015;6;5;;5914;5614;11;4
-286;-306;0;1;;4231;4211;1;0
1087;-173;40;23;;6519;5419;40;15
-286;-306;0;1;;4231;4211;1;0
-286;-306;0;1;;4231;4211;1;0
-1074;-1414;5;12;;-5358;-5578;2;9
848;-372;35;26;;5514;4054;49;24
83;-1017;33;22;;5596;4096;51;24
521;-539;33;20;;5910;4690;43;18
96;-44;4;3;;-5675;-5815;4;3
-286;-306;0;1;;4231;4211;1;0
521;-539;33;20;;5910;4690;43;18
-3048;-3348;6;9;;-5936;-6076;2;5
96;-44;4;3;;-5675;-5815;4;3
-3136;-3516;6;13;;-4302;-4362;1;2
54;-86;3;4;;4231;4211;1;0
1815;1475;12;5;;3347;3087;9;4
-286;-306;0;1;;4231;4211;1;0
