5;-60633.8;1493.3;8137824
35;-39673.3;1013.1;40013793
65;-40515.8;1144.6;76507567
95;-73664.8;1824.4;124131820
125;-67688.2;1733.8;211896888
155;-42756.1;1042.6;216934442
185;-20650;527.9;256268174
215;-23315.1;574.6;317843259
245;-81951.5;2044.5;349918088
275;-65449.7;1626.8;367901305
305;-46212.7;1133.6;408269803
335;-65856.1;1633.8;468070466
365;-49794.5;1281.5;523976150
395;-58149.1;1489.3;557159429
425;-44067.5;1064.3;590439168
455;587.7;2.8;642357898
485;-81115.6;1968.7;695941047
5;-32514.6;59742;876.7;1545.55;0
35;1217.7;850.738;5.6;5.1225;4
65;1695.8;701.3;5.2;3.6;7
95;1943.3;506.057;4;0;9
125;2203.9;108.884;4;0;13
155;2086.6;146.5;4;0;16
185;2047.6;281.888;4;0;19
215;1893.8;546.653;4.4;1.2;22
245;2056.7;134.97;4;0;25
275;2148.8;248.451;5.6;2.6533;30
305;2040.2;143.642;4;0;31
335;2136.1;181.285;4.4;1.2;174
365;2082.4;189.236;4.4;1.2;54
395;2105.7;130.632;4;0;63
425;2146.3;111.107;4;0;59
455;2115.5;147.876;4;0;63
485;2105.6;134.824;4;0;116
5;9184.8;855.814;226.3;47.371;0
105;11807.5;701.964;234.1;39.6092;19
205;11445.3;737.832;227;36.9865;41
305;12135.8;728.127;224.9;24.056;70
405;12302.4;495.918;245.2;12.0979;92
