1.1.2016_15.1.2016;;;;;15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2536;2276;12;1;;1752;1412;11;6;;3347;3087;9;4;;-1130;-1390;4;9;;
3133;2753;15;4;;-594;-1174;11;18;;-5339;-5919;11;18;;2241;1301;28;19;;
5167;4087;42;12;;-9;-1149;37;20;;4637;3057;47;32;;-2739;-4099;36;32;;
15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016;;;;;1.3.2016_15.3.2016
4076;3816;10;3;;6058;5998;3;0;;-896;-1036;2;5;;467;247;4;7;;
1904;1764;6;1;;5023;4763;7;6;;1577;1517;1;2;;2063;1843;5;6;;
4391;4091;13;2;;4470;4210;11;2;;-482;-782;8;7;;824;604;4;7;;
5908;4168;56;31;;-285;-1965;54;30;;2420;700;53;33;;1982;482;47;28;;
4440;4060;17;2;;3984;3824;5;3;;-3047;-3347;3;12;;3756;3536;8;3;;
1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016;;;;;1.3.2016_15.3.2016;;;;;15.3.2016_1.4.2016
6169;6109;2;1;;-2579;-2719;3;4;;248;148;3;2;;-1707;-1847;2;5;;
6376;6276;5;0;;-649;-789;3;4;;-2243;-2303;0;3;;-419;-639;7;4;;
7350;7050;12;3;;189;-351;14;13;;3479;3099;13;6;;-1189;-1609;5;16;;
7401;7141;12;1;;-2679;-2859;3;6;;3341;2721;18;13;;1442;1062;8;11;;
7354;7094;13;0;;-432;-532;2;3;;-2181;-2201;0;1;;-507;-567;1;2;;

1.1.2016_15.1.2016;;;;;15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016
3545;2765;31;8;;198;-662;30;13;;6510;5530;31;18;;-2137;-2917;16;23;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
4346;3306;39;13;;529;-1151;46;38;;3988;2088;47;48;;-3046;-4446;35;35;;
2455;2195;10;3;;-1094;-1234;1;6;;6059;5479;19;10;;1639;1419;7;4;;

15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016;;;;;1.3.2016_15.3.2016
6421;4361;64;39;;-912;-2712;57;33;;1612;-68;50;34;;2134;234;52;43;;
3902;3642;11;2;;6121;5781;13;4;;-460;-720;6;7;;3606;3346;6;7;;
4087;3907;6;3;;-4231;-4251;0;1;;-892;-1072;4;5;;436;296;3;4;;
4298;3998;12;3;;3659;3439;9;2;;-468;-648;3;6;;824;604;4;7;;
2880;2500;14;5;;3907;3487;9;12;;-2653;-3513;21;22;;1707;1207;11;14;;

1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016;;;;;1.3.2016_15.3.2016;;;;;15.3.2016_1.4.2016
