20;-76426.5;1874;26605180
30;-96646.6;2463.2;16499974
40;-66087.2;1724.6;21183911
50;-74264.9;1827.2;26042980
60;-50711.7;1237.8;31454283
70;-37983.4;899.2;36147703
80;-72660.7;1830.2;42057155
90;-79600.5;1983.5;48168876
100;-47603;1249.9;59891492
110;-53290.6;1284.5;63960433
120;-27933.5;709.9;67706833
130;-52319;1356.9;74058730
140;-60237.5;1484.9;81280971
150;-69800.5;1802.1;86786159
160;-76388.5;1893.3;90318279
170;-61410.1;1454.1;95076889
180;-46965.3;1306.5;108701577
190;-29135.5;801;164533334
200;-34054.6;879.7;194279013
210;-51786.4;1381.8;154645112
220;-60923.8;1541.7;204501318
230;-106566;2596.8;190096715
240;-70543.3;1805.2;188434889
250;-71916.6;1810.5;190515680
260;-27668.1;702.7;196855360
270;-10281.7;261.5;210662418
280;-72133;1776.8;211610164
290;-29400.3;784.6;229146123
300;-59037.5;1510.2;236168654
310;-41421;1040.6;236517588
320;-32403.9;780.4;259686937
330;794.8;5.2;245960026
340;-44961.1;1180.5;265046585
350;-57956.4;1452.9;283570152
360;-50866.7;1269.5;392556085
370;-63762.7;1676.8;320956230
380;-20518.2;520.8;291641394
390;-47510;1166.3;230475211
400;-30199.1;781.9;236341609
410;-34260.1;909.5;240910719
420;837.5;3.6;248940528
430;-58904.2;1578.1;248610197
440;-28592.5;783.5;256323513
450;-38574.2;999.8;259439127
460;-24127.2;631.1;265180959
470;704.9;23.2;272030258
480;-50225.5;1257;280637357
490;-19107.5;519.9;281192673
500;-20797.1;521.1;290494634
20;-39051.9;63598.4;1031;1709.14;0
30;-21098.5;63670.4;520.7;1560.77;1
40;-20897.5;63709.6;521.9;1560.37;1
50;559.3;1068.69;1.6;2.6533;2
60;-3863.6;13920.4;127.1;368.008;2
70;-18054.3;57160.3;505.9;1509.7;3
80;1718.6;863.159;4.4;2.8;4
90;-10689.3;31133.7;310.8;788.572;4
100;2070.2;140.198;4.4;1.2;5
110;-8509.1;31185.6;262;771.337;5
120;1704.8;960.744;14;23.6136;6
130;273.7;4329.56;48;132.012;6
140;-8223;30361.5;263.5;774.508;7
150;-2179.3;12463.2;88;250.67;7
160;1710.3;795.573;4;0;8
170;1980.6;624.749;4.4;1.2;9
180;1644.7;830.996;4;1.78885;9
190;1853.3;617.274;6.4;5.98665;11
200;1898.6;601.531;5.6;3.66606;11
210;2057.9;136.162;4;0;11
220;-7539.6;28798.1;255.5;754.5;11
230;2085.7;251.752;4.4;1.2;12
240;2113.2;135.124;7.6;7.68375;13
250;1995.8;517.317;4;0;13
260;2153;115.938;4;0;14
270;2049.7;263.904;4;0;15
280;2118.3;140.667;4;0;15
290;2118.3;140.667;4;0;16
300;2083;136.539;4;0;16
310;2150.3;251.626;4.4;1.2;17
320;2150.4;133.486;4.4;1.2;17
330;2097.4;151.849;4;0;18
340;2088;279.907;4.4;1.2;19
350;2034.1;264.901;4;0;20
360;1989.1;443.3;4.8;1.6;21
370;2054;194.339;6;6;21
380;1948.2;529.339;4.4;1.2;22
390;2163.3;146.449;4;0;22
400;2176.2;157.3;4;0;23
410;2134.2;226.195;4;0;221
420;2083;136.539;4;0;23
430;2105.9;163.171;4.8;1.6;24
440;2102.9;160.113;4;0;25
450;2090;143;4;0;32
460;2015.4;305.746;4.8;1.6;36
470;2016.3;110.049;4;0;30
480;2163.9;130.202;4;0;32
490;2176.5;207.926;4;0;33
500;2157.1;114.817;4;0;34
